,ShirtNumber,PlayerName,Team,Sucessful,Errors,AttemptsAttempts,AveragePerMatch,Success%,TotalAttempts
31,10,Larson Jordan,USA,12,0,21,1.5,36.36,33
32,6,Dominguez Martinez Camil Inmaculada,DOM,12,0,18,2.4,40.0,30
33,14,Bartsch-Hackley Michelle,USA,10,0,12,1.25,45.45,22
34,9,Bosetti Caterina Chiara,ITA,9,2,16,1.5,33.33,27
35,18,Wang Mengjie,CHN,9,0,27,1.8,25.0,36
36,18,Gunes Zehra,TUR,9,0,11,1.5,45.0,20
37,14,Yang Hyo Jin,KOR,9,0,12,1.12,42.86,21
38,19,Milenkovic Bojana,SRB,8,0,15,1.0,34.78,23
39,10,Kim Yeon Koung,KOR,8,0,36,1.0,18.18,44
40,2,De Oliveira Saad Gattaz Caroline,BRA,7,0,13,0.88,35.0,20
41,16,Rasic Milena,SRB,6,0,4,0.75,60.0,10
42,1,Busa Bianka,SRB,6,0,3,0.75,66.67,9
43,6,Koroleva Irina,ROC,5,0,10,0.83,33.33,15
44,16,Voronkova Irina,ROC,5,1,11,0.83,29.41,17
45,5,Matveeva Polina,ROC,5,0,12,0.83,29.41,17
46,12,Rizzo Tatiana Soledad,ARG,5,0,24,1.0,17.24,29
